Artist,Movie,Google_Search,Release_Date
Lady Gaga,House of Gucci,release+date+House+of+Gucci,24-Nov-21
Lady Gaga,A Star Is Born,release+date+A+Star+Is+Born,5-Oct-18
Lady Gaga,American Horror Story,release+date+American+Horror+Story,Oct-16
Lady Gaga,Sin City: A Dame to Kill For,release+date+Sin+City:+A+Dame+to+Kill+For,22-Aug-14
Lady Gaga,Muppets Most Wanted,release+date+Muppets+Most+Wanted,21-Mar-14
Lady Gaga,Machete Kills,release+date+Machete+Kills,11-Oct-13
Lady Gaga,The Simpsons,release+date+The+Simpsons,17-Dec-89
Lady Gaga,Men in Black 3,release+date+Men+in+Black+3,25-May-12
Lady Gaga,Gossip Girl,release+date+Gossip+Girl,19-Sep-07
Lady Gaga,Lady Gaga Feat. Colby ODonis: Just Dance,release+date+Lady+Gaga+Feat.+Colby+ODonis:+Just+Dance,2008
Lady Gaga,The Sopranos,release+date+The+Sopranos,10-Jan-01
Harry Styles,Harry Styles: Satellite,release+date+Harry+Styles:+Satellite,2022
Harry Styles,Harry Styles: Music for a Sushi Restaurant,release+date+Harry+Styles:+Music+for+a+Sushi+Restaurant,2022
Harry Styles,My Policeman,release+date+My+Policeman,21-Oct-22
Harry Styles,Don't Worry Darling,release+date+Don't+Worry+Darling,23-Sep-22
Harry Styles,Harry Styles: Late Night Talking,release+date+Harry+Styles:+Late+Night+Talking,2022
Harry Styles,Harry Styles: Daylight,release+date+Harry+Styles:+Daylight,2022
Harry Styles,Harry Styles: As It Was,release+date+Harry+Styles:+As+It+Was,2022
Harry Styles,Eternals,release+date+Eternals,5-Nov-21
Harry Styles,Harry Styles: Treat People with Kindness,release+date+Harry+Styles:+Treat+People+with+Kindness,2019
Harry Styles,Harry Styles: Golden,release+date+Harry+Styles:+Golden,2019
Harry Styles,Harry Styles: Watermelon Sugar,release+date+Harry+Styles:+Watermelon+Sugar,2019
Harry Styles,Harry Styles: Falling,release+date+Harry+Styles:+Falling,2019
Harry Styles,Harry Styles: Adore You,release+date+Harry+Styles:+Adore+You,2019
Harry Styles,Harry Styles: Lights Up,release+date+Harry+Styles:+Lights+Up,2019
Harry Styles,Gucci: Men's Tailoring Campaign,release+date+Gucci:+Men's+Tailoring+Campaign,21-May-19
Harry Styles,Met Gala: Camp! Teaser,release+date+Met+Gala:+Camp!+Teaser,19-Apr-19
Harry Styles,Harry Styles: Two Ghosts,release+date+Harry+Styles:+Two+Ghosts,2017
Harry Styles,Harry Styles: Kiwi,release+date+Harry+Styles:+Kiwi,2017
Harry Styles,Harry Styles: Nova's Red Room Secret Gig,release+date+Harry+Styles:+Nova's+Red+Room+Secret+Gig,8-Sep-17
Harry Styles,Dunkirk,release+date+Dunkirk,21-Jul-17
Harry Styles,Harry Styles: Sign of the Times,release+date+Harry+Styles:+Sign+of+the+Times,2017
Justin Timberlake,"Calvin Harris Feat. Justin Timberlake, Halsey & Pharrell: Stay with Me","release+date+Calvin+Harris+Feat.+Justin+Timberlake,+Halsey+&+Pharrell:+Stay+with+Me",2022
Justin Timberlake,Candy,release+date+Candy,9-May-22
Justin Timberlake,Trolls Holiday in Harmony,release+date+Trolls+Holiday+in+Harmony,2021
Justin Timberlake,Palmer,release+date+Palmer,29-Jan-21
Justin Timberlake,Trolls World Tour,release+date+Trolls+World+Tour,10-Apr-20
Justin Timberlake,American Psychos: Lori the Narcissist,release+date+American+Psychos:+Lori+the+Narcissist,24-Aug-18
Justin Timberlake,Trolls Holiday,release+date+Trolls+Holiday,20-Nov-17
Justin Timberlake,Wonder Wheel,release+date+Wonder+Wheel,15-Dec-17
Justin Timberlake,Trolls,release+date+Trolls,4-Nov-16
Justin Timberlake,Popstar: Never Stop Never Stopping,release+date+Popstar:+Never+Stop+Never+Stopping,3-Jun-16
Justin Timberlake,Sauza 901 Tequila: No Limes Needed,release+date+Sauza+901+Tequila:+No+Limes+Needed,4-May-15
Justin Timberlake,Runner Runner,release+date+Runner+Runner,4-Oct-13
Justin Timberlake,Rolanda & Richard,release+date+Rolanda+&+Richard,7-Apr-12
Justin Timberlake,Inside Llewyn Davis,release+date+Inside+Llewyn+Davis,20-Dec-13
Justin Timberlake,Trouble with the Curve,release+date+Trouble+with+the+Curve,21-Sep-12
Justin Timberlake,In Time,release+date+In+Time,28-Oct-11
Justin Timberlake,Friends with Benefits,release+date+Friends+with+Benefits,22-Jul-11
Justin Timberlake,Bad Teacher,release+date+Bad+Teacher,24-Jun-11
Justin Timberlake,The Cleaveland Show,release+date+The+Cleaveland+Show,27-Sep-09
Justin Timberlake,Yogi Bear,release+date+Yogi+Bear,17-Dec-10
Justin Timberlake,The Social Network,release+date+The+Social+Network,1-Oct-10
Justin Timberlake,Audi the Next Big Thing,release+date+Audi+the+Next+Big+Thing,5-Apr-10
Justin Timberlake,Next Big Thing,release+date+Next+Big+Thing,5-Apr-10
Justin Timberlake,Jerry,release+date+Jerry,15-Jun-22
Justin Timberlake,The Open Road,release+date+The+Open+Road,28-Aug-09
Justin Timberlake,The Love Guru,release+date+The+Love+Guru,20-Jun-08
Justin Timberlake,Gnarls Barkley: Run,release+date+Gnarls+Barkley:+Run,29-Feb-08
Justin Timberlake,Shrek the Third,release+date+Shrek+the+Third,18-May-07
Justin Timberlake,Black Snake Maon,release+date+Black+Snake+Maon,13-Feb-07
Justin Timberlake,Southland Tales,release+date+Southland+Tales,14-Nov-07
Justin Timberlake,Alpha Dog,release+date+Alpha+Dog,12-Jan-07
Justin Timberlake,Edison,release+date+Edison,5-Mar-05
Justin Timberlake,Longshot,release+date+Longshot,3-May-19
Justin Timberlake,On the Line,release+date+On+the+Line,4-Nov-22
Justin Timberlake,The Simpsons,release+date+The+Simpsons,17-Dec-89
Justin Timberlake,The Wonderful World of Disney,release+date+The+Wonderful+World+of+Disney,27-Oct-54
