Song_Title,Streams,Daily,Album
(Antichrist Television Blues),6842548,1179,Non-Soundtrack Song Song
Abraham's Daughter,11203381,2074,Non-Soundtrack Song Song
Afterlife,60006210,15022,Non-Soundtrack Song Song
Age of Anxiety I,10872684,10932,Non-Soundtrack Song Song
Age of Anxiety II (Rabbit Hole),9794794,6242,Non-Soundtrack Song Song
Apocrypha,1338392,136,Non-Soundtrack Song Song
Awful Sound (Oh Eurydice),9183155,930,Non-Soundtrack Song Song
"Baby Mine - From ""Dumbo""",23037113,4171,Soundtrack Song
Black Mirror,10732548,1549,Non-Soundtrack Song Song
Black Wave / Bad Vibrations,6413597,1037,Non-Soundtrack Song Song
Chemistry,13853664,1237,Non-Soundtrack Song Song
City with No Children,13585701,2879,Non-Soundtrack Song Song
Creature Comfort,48999815,8700,Non-Soundtrack Song Song
Crown of Love,15598256,3646,Non-Soundtrack Song Song
Crucified Again,1154757,115,Non-Soundtrack Song Song
Culture War,2991524,493,Non-Soundtrack Song Song
Deep Blue,15323952,3386,Non-Soundtrack Song Song
Dimensions,3820070,4504,Soundtrack Song
Divorce Papers,1617112,1693,Soundtrack Song
Electric Blue,30786989,4991,Non-Soundtrack Song Song
Empty Room,12660695,2372,Non-Soundtrack Song Song
End of the Empire I-III,5743895,3726,Non-Soundtrack Song Song
End of the Empire IV (Sagittarius A*),4134132,2056,Non-Soundtrack Song Song
Everything Now,123151446,35758,Non-Soundtrack Song Song
Everything Now - Recorded at Spotify Studios NYC,2804573,503,Non-Soundtrack Song Song
Everything Now (continued),6000309,696,Non-Soundtrack Song Song
Everything Now (Todo Ya) - Remix por Bomba Estéreo,2663382,412,Non-Soundtrack Song Song
Everything_Now (continued),8874605,1022,Non-Soundtrack Song Song
Flashbulb Eyes,12466713,1009,Non-Soundtrack Song Song
Flashbulb Eyes - Dennis Bovell Remix,1186938,115,Non-Soundtrack Song Song
Get Right,7091031,396,Non-Soundtrack Song Song
Good God Damn,18736975,3467,Non-Soundtrack Song Song
Haiti,15105500,4686,Non-Soundtrack Song Song
Half Light I,11445915,1906,Non-Soundtrack Song Song
