Song_Title,Streams,Daily,Type
* Forget About The World - Daft Punk Mix,242861,350,Non-Soundtrack Song
* I Feel It Coming (feat. Daft Punk),1493052801,634872,Non-Soundtrack Song
* I Gotta Try You Girl - Daft Punk Edit,736929,163,Non-Soundtrack Song
* Ian Pooley ''Chord Memory'' - Daft Punk Remix,2447032,771,Non-Soundtrack Song
* Life Is Sweet - Daft Punk Remix,376515,506,Non-Soundtrack Song
* Starboy (feat. Daft Punk),2452364245,2118449,Non-Soundtrack Song
* Starboy (feat. Daft Punk) - Kygo Remix,78371139,21966,Non-Soundtrack Song
* Take Me Out - Daft Punk Remix,2014031,1669,Non-Soundtrack Song
"Adagio For TRON - From ""TRON: Legacy""/Score",17817027,4567,Soundtrack Song
Adagio for TRON - Remixed by Teddybears,7875072,1051,Non-Soundtrack Song
Aerodynamic,61604287,30468,Non-Soundtrack Song
Aerodynamic - Daft Punk Remix,23209028,7281,Non-Soundtrack Song
Aerodynamic - Slum Village Remix,1056585,270,Non-Soundtrack Song
"Aerodynamic Beats / Gabrielle , Forget About The World",11127143,3071,Non-Soundtrack Song
Aerodynamite,2865221,1086,Non-Soundtrack Song
Alive,15180657,4581,Non-Soundtrack Song
Alive 1997,1216423,798,Non-Soundtrack Song
"Arena - From ""TRON: Legacy""/Score",18660254,5000,Soundtrack Song
Arena - Remixed by The Japanese Popstars,3557160,342,Non-Soundtrack Song
"Armory - From ""TRON: Legacy""/Score",18127923,4371,Soundtrack Song
Around the World,312769457,179884,Non-Soundtrack Song
Around the World - I:Cube Remix,136520,249,Non-Soundtrack Song
Around the World - Kenlou Mix,367270,361,Non-Soundtrack Song
Around the World - Mellow Mix,1410929,3142,Non-Soundtrack Song
Around the World - Motorbass Vice Mix,288500,153,Non-Soundtrack Song
Around the World - Radio Edit [Radio Edit],36219352,22271,Non-Soundtrack Song
Around The World / Harder Better Faster Stronger,43411994,15249,Non-Soundtrack Song
"Arrival - From ""TRON: Legacy""/Score",11226631,2671,Non-Soundtrack Song
Beyond,50620142,24517,Non-Soundtrack Song
Brainwasher - Erol Alkan's Horrorhouse Dub,709417,104,Non-Soundtrack Song
Burnin',7524985,4253,Non-Soundtrack Song
Burnin' - DJ Sneak Main Mix,139949,201,Non-Soundtrack Song
Burnin' - Edit Version [Edit Version],4584964,281,Non-Soundtrack Song
Burnin' - Ian Pooley Cut up Mix,373735,292,Non-Soundtrack Song
Burnin' - Slam Mix,225519,140,Non-Soundtrack Song
Burnin' / Too Long,13490656,3912,Non-Soundtrack Song
"C.L.U. - From ""TRON: Legacy""/Score",12678736,2990,Soundtrack Song
C.L.U. - Remixed by Paul Oakenfold,5514720,629,Non-Soundtrack Song
Castor,2110220,2023,Non-Soundtrack Song
Contact,43740560,19400,Non-Soundtrack Song
Crescendolls,31777621,16498,Non-Soundtrack Song
Crescendolls - Laidback Luke Remix,814069,143,Non-Soundtrack Song
Da Funk,77734486,45602,Non-Soundtrack Song
Da Funk - Radio Edit,2207197,837,Non-Soundtrack Song
Da Funk / Dadftendirekt,10737249,3075,Non-Soundtrack Song
Daftendirekt,8022774,3628,Non-Soundtrack Song
"Derezzed - From ""TRON: Legacy""/Score",57210510,23811,Soundtrack Song
Derezzed - Remixed by Avicii,21969838,5696,Non-Soundtrack Song
Derezzed - Remixed by The Glitch Mob,25318503,4464,Non-Soundtrack Song
Digital Love,122503204,61297,Non-Soundtrack Song
Digital Love - Boris Dlugosch Remix,1926656,394,Non-Soundtrack Song
Digital Love - Radio Edit [Radio Edit],2030558,721,Non-Soundtrack Song
"Disc Wars - From ""TRON: Legacy""/Score",14842454,3515,Soundtrack Song
Doin' it Right (feat. Panda Bear),127402460,41130,Non-Soundtrack Song
Emotion,5343111,2037,Non-Soundtrack Song
Encom Part 2 - Remixed by Com Truise,5065662,601,Non-Soundtrack Song
Encom Part I,1691754,1212,Non-Soundtrack Song
Encom Part II,2535795,2410,Non-Soundtrack Song
"End of Line - From ""TRON: Legacy""/Score",39622381,43968,Soundtrack Song
End of Line - Remixed by Boys Noize,5628182,634,Non-Soundtrack Song
End of Line - Remixed by Photek,6649465,1701,Non-Soundtrack Song
End of Line (Remixed by Tame Impala),420790,54,Non-Soundtrack Song
"Episode 1, Giorgio Moroder",3537482,185,Non-Soundtrack Song
"Episode 2, Todd Edwards",1727418,71,Non-Soundtrack Song
"Episode 3, Nile Rodgers",1438101,59,Non-Soundtrack Song
"Episode 4, Pharrell Williams",1593766,90,Non-Soundtrack Song
"Episode 5, Panda Bear",1178883,59,Non-Soundtrack Song
"Episode 6, Chilly Gonzales",1125399,56,Non-Soundtrack Song
"Episode 7, DJ Falcon",981488,55,Non-Soundtrack Song
"Episode 8, Paul Williams",925677,43,Non-Soundtrack Song
Face to Face,64245766,43010,Non-Soundtrack Song
Face to Face - Cosmo Vitelli Remix,1348732,413,Non-Soundtrack Song
Face to Face - Demon Remix,975224,279,Non-Soundtrack Song
Face To Face / Short Circuit,12410803,3630,Non-Soundtrack Song
"Fall - From ""TRON: Legacy""/Score",18320583,5206,Soundtrack Song
Fall - Remixed by M83 VS Big Black Delta,12304333,1966,Non-Soundtrack Song
"Father and Son - From ""TRON: Legacy""/Score",1793885,1670,Non-Soundtrack Song
"Finale - From ""TRON: Legacy""/Score",9858365,2066,Soundtrack Song
"Flynn Lives - From ""TRON: Legacy""/Score",16717294,4133,Soundtrack Song
Fragments of Time (feat. Todd Edwards),63783972,49349,Non-Soundtrack Song
Fresh,8901689,6481,Non-Soundtrack Song
Funk Ad,3084762,993,Non-Soundtrack Song
Get Lucky - Daft Punk Remix,8450790,1061,Non-Soundtrack Song
Get Lucky (feat. Pharrell Williams and Nile Rodgers),422601810,248102,Non-Soundtrack Song
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],904545530,555776,Non-Soundtrack Song
Giorgio by Moroder,115294179,74963,Non-Soundtrack Song
Give Life Back to Music,112170024,57026,Non-Soundtrack Song
GL (Early Take) [feat. Pharrell Williams and Nile Rodgers],701881,12684,Non-Soundtrack Song
GLBTM (Studio Outtakes),1497742,13337,Non-Soundtrack Song
GLBTM (Studio Outtakes) [Edit],1495093,15306,Non-Soundtrack Song
"Harder, Better, Faster, Stronger",310470229,145305,Non-Soundtrack Song
"Harder, Better, Faster, Stronger - Alive Extended 2007",3109614,830,Non-Soundtrack Song
"Harder, Better, Faster, Stronger - Alive Radio Edit 2007",8874185,5011,Non-Soundtrack Song
"Harder, Better, Faster, Stronger - Breakers Break Remix",1192718,158,Non-Soundtrack Song
"Harder, Better, Faster, Stronger - Jess & Crabbe Remix",1845049,299,Non-Soundtrack Song
"Harder, Better, Faster, Stronger - Pete Heller's Stylus Mix",456550,62,Non-Soundtrack Song
"Harder, Better, Faster, Stronger - The Neptunes Remix",3544417,884,Non-Soundtrack Song
High Fidelity,4890088,1933,Non-Soundtrack Song
High Life,28016843,15791,Non-Soundtrack Song
Horizon (Japan CD),803340,23235,Non-Soundtrack Song
Horizon Ouverture,567610,13696,Non-Soundtrack Song
Human After All,27868603,9617,Non-Soundtrack Song
"Human After All - ""Guy-Man After All"" Justice Remix",925957,235,Non-Soundtrack Song
Human After All - Alter Ego Remix,533614,85,Non-Soundtrack Song
Human After All - Emperor Machine Version,478985,69,Non-Soundtrack Song
Human After All - Medley,404128,86,Non-Soundtrack Song
Human After All - SebastiAn Remix,1416264,356,Non-Soundtrack Song
Human After All - The Juan Mclean Remix,637100,72,Non-Soundtrack Song
Human After All/Together/One More Time/Music Sounds Better With You,11964111,3642,Non-Soundtrack Song
Indo Silver Club,4370329,2055,Non-Soundtrack Song
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],6849780,250446,Non-Soundtrack Song
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],5637194,,Non-Soundtrack Song
Instant Crush (feat. Julian Casablancas),490066406,278191,Non-Soundtrack Song
Lose Yourself to Dance (feat. Pharrell Williams),286262852,114090,Non-Soundtrack Song
LYTD (Vocoder Tests) [feat. Pharrell Williams],705640,17049,Non-Soundtrack Song
Make Love,27201074,10692,Non-Soundtrack Song
Motherboard,37785077,17403,Non-Soundtrack Song
Musique,13796121,3833,Non-Soundtrack Song
Nightvision,25196333,14430,Non-Soundtrack Song
Nocturne,9155216,2828,Non-Soundtrack Song
"Nocturne - From ""TRON: Legacy""/Score",7177563,774,Soundtrack Song
Oh Yeah,3490885,1280,Non-Soundtrack Song
One More Time,503351501,328901,Non-Soundtrack Song
One More Time - 12 Mix,2354948,1291,Non-Soundtrack Song
One More Time - Radio Edit [Short Radio Edit],92098192,46931,Non-Soundtrack Song
One More Time - Romanthony's Unplugged,849151,204,Non-Soundtrack Song
One More Time / Aerodynamic,21921605,6558,Non-Soundtrack Song
"Outlands - From ""TRON: Legacy""/Score",18220350,4607,Soundtrack Song
"Outlands, Part II - From ""TRON: Legacy""/Score",2108340,2027,Soundtrack Song
Ouverture,3173172,1928,Non-Soundtrack Song
"Overture - From ""TRON: Legacy""/Score",23859866,7731,Soundtrack Song
Phoenix,7804166,3083,Non-Soundtrack Song
Phoenix - Basement Jaxx Remix,993417,176,Non-Soundtrack Song
Prime (2012 Unfinished),837546,22753,Non-Soundtrack Song
Prime Time of Your Life - Para One Remix,974542,322,Non-Soundtrack Song
Prime Time Of Your Life / Brainwasher /Rollin 'and Scratchin' / Alive,11259941,3363,Non-Soundtrack Song
"Recognizer - From ""TRON: Legacy""/Score",23743618,6416,Soundtrack Song
"Rectifier - From ""TRON: Legacy""/Score",11986110,2530,Soundtrack Song
Reflections,1497591,1157,Non-Soundtrack Song
Revolution 909,30015503,16820,Non-Soundtrack Song
Revolution 909 - Radio Edit [Radio Edit],606055,194,Non-Soundtrack Song
Revolution 909 - Revolution A Cappella,151876,84,Non-Soundtrack Song
Revolution 909 - Roger Sanchez & Junior Sanchez Remix,376054,324,Non-Soundtrack Song
"Rinzler - From ""TRON: Legacy""/Score",20320066,5892,Soundtrack Song
Rinzler - Remixed by Kaskade,5643087,690,Non-Soundtrack Song
Robot Rock,70024907,31927,Non-Soundtrack Song
Robot Rock - Edit [Edit],5737734,3606,Non-Soundtrack Song
Robot Rock - Maximum Overdrive Mix,810442,175,Non-Soundtrack Song
Robot Rock - Soulwax Remix,1705970,313,Non-Soundtrack Song
Robot Rock / Oh Yeah,20330414,6329,Non-Soundtrack Song
Rock'n Roll,4215988,1496,Non-Soundtrack Song
Rollin' & Scratchin',16803185,6306,Non-Soundtrack Song
Round One,1546385,1155,Non-Soundtrack Song
Sea of Simulation,2320952,2045,Non-Soundtrack Song
Short Circuit,20858280,10777,Non-Soundtrack Song
"Solar Sailer - From ""TRON: Legacy""/Score",28889743,10445,Soundtrack Song
Solar Sailer - Remixed by Pretty Lights,6115930,661,Non-Soundtrack Song
Something About Us,197809277,104413,Non-Soundtrack Song
Something About Us (Love Theme from Interstella 5555),7592666,11725,Non-Soundtrack Song
Steam Machine,4815869,1444,Non-Soundtrack Song
Sunrise Prelude,1676934,1291,Non-Soundtrack Song
Superheroes,28702677,14172,Non-Soundtrack Song
Superheroes / Human After All / Rock'n Roll,9656533,2796,Non-Soundtrack Song
Teachers,7723122,4318,Non-Soundtrack Song
Teachers - Extended Mix,485989,275,Non-Soundtrack Song
Technologic,58287817,21734,Non-Soundtrack Song
Technologic - Basement Jaxx Kontrol Mixx,622855,71,Non-Soundtrack Song
Technologic - Digitalism Remix,821586,152,Non-Soundtrack Song
Technologic - Le Knight Club Remix,662068,229,Non-Soundtrack Song
Technologic - Liquid Twins Remix,624004,123,Non-Soundtrack Song
Technologic - Peaches No Logic Remix,880324,161,Non-Soundtrack Song
Technologic - Radio Edit [Radio Edit],11830615,1800,Non-Soundtrack Song
Technologic - Vitalic Remix,592583,129,Non-Soundtrack Song
Television Rules the Nation,7221798,2602,Non-Soundtrack Song
Television Rules The Nation / Crescendolls,22569265,7602,Non-Soundtrack Song
The Brainwasher,3852740,1290,Non-Soundtrack Song
"The Game Has Changed - From ""TRON: Legacy""/Score",25203090,6488,Soundtrack Song
The Game of Love,64822154,33415,Non-Soundtrack Song
"The Grid - From ""TRON: Legacy""/Score",24852202,7844,Soundtrack Song
