Song_Title,Streams,Daily,Type
(And She Said) Take Me Now,4108753,944,Non-Sountrack Song
(Another Song) All Over Again,12061912,2016,Non-Sountrack Song
(Oh No) What You Got,11381644,2946,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake & Timbaland),231749427,180259,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake & Timbaland) [Bob Sinclar Space Funk Edit] - 2022 Remaster,416995,714,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake and Timbaland),41625372,29114,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake and Timbaland) - Bob Sinclar Space Funk Remix,361937,264,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake and Timbaland) - Live,1474097,372,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake and Timbaland) - Peter Saves London Remix,174097,58,Non-Sountrack Song
* 4 Minutes (feat. Justin Timberlake and Timbaland) - Timbaland's Mobile Underground Remix,115202,21,Non-Sountrack Song
* Ayo Technology,181051490,118130,Non-Sountrack Song
* Believe (feat. Justin Timberlake),27174450,5410,Non-Sountrack Song
* Better Days,14324241,2194,Non-Sountrack Song
* Better Days - Live,1597991,506,Non-Sountrack Song
* Bounce,52467004,24436,Non-Sountrack Song
* Bounce - Instrumental,120363,190,Non-Sountrack Song
* Brand New (with Justin Timberlake),24168333,2387,Non-Sountrack Song
* Can't Believe It Remix (feat. Justin Timberlake),3117807,1073,Non-Sountrack Song
* Carry Out (Featuring Justin Timberlake),131041428,83197,Non-Sountrack Song
* Dead And Gone,214175482,79704,Non-Sountrack Song
* Don't Slack (from Trolls World Tour),26332146,10292,Soundtrack Song
* Falling Down (feat. Justin Timberlake),3463880,1669,Non-Sountrack Song
* Floatin' (feat. Justin Timberlake & will.i.am),1924323,370,Non-Sountrack Song
* Get Out,270591,60,Non-Sountrack Song
* Give It To Me,210179245,323279,Non-Sountrack Song
* Give It To Me,12082686,20011,Non-Sountrack Song
* Give It To Me - Instrumental,3045475,12625,Non-Sountrack Song
* Give It To Me - Sped Up Remix,4810192,50466,Non-Sountrack Song
* History of Rap (feat. Justin Timberlake),1909831,336,Non-Sountrack Song
* Holy Grail,296394623,86152,Non-Sountrack Song
* Innocent,4555905,1847,Non-Sountrack Song
* JUST BE (feat. Justin Timberlake),6361400,1393,Non-Sountrack Song
* Loose Ends - Album Version (Edited),835974,277,Non-Sountrack Song
* Love Never Felt So Good,292349463,107550,Non-Sountrack Song
* Love Never Felt So Good - DM CLASSIC RADIO MIX,2145500,1290,Non-Sountrack Song
* Love Never Felt So Good - DM EPIC DUB MIX,534686,104,Non-Sountrack Song
* Love Never Felt So Good - DM-FK CLASSIC TRIBUTE MIX,2010126,669,Non-Sountrack Song
* Love Sex Magic (feat. Justin Timberlake),71196595,27700,Non-Sountrack Song
* Love Sex Magic (feat. Justin Timberlake) - Cutmore Remix,137301,14,Non-Sountrack Song
* Love Sex Magic (feat. Justin Timberlake) - Jason Nevins Sex Club Radio Mix,1707910,166,Non-Sountrack Song
* My Kinda Girl,5998645,2998,Non-Sountrack Song
* My Style,11728990,3984,Non-Sountrack Song
* My Style - DJ Premiere Remix (Explicit Version),433736,77,Non-Sountrack Song
* Parent Trap (feat. Justin Timberlake),14749480,12352,Non-Sountrack Song
* Release,6167332,2460,Non-Sountrack Song
* Release - Album Version (Edited),719569,406,Non-Sountrack Song
* Shades,905549,162,Non-Sountrack Song
* Signs,92443232,71474,Non-Sountrack Song
* Sin Fin,46559284,61172,Non-Sountrack Song
"* Stay With Me (Part 2) (with Justin Timberlake, Halsey & Pharrell)",3974341,4759,Non-Sountrack Song
"* Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",117617077,122352,Non-Sountrack Song
* The Nature (feat. Justin Timberlake),590016,16,Non-Sountrack Song
* The Only Promise That Remains,669830,145,Non-Sountrack Song
* The Other Side (from Trolls World Tour),153969687,44231,Soundtrack Song
* The Other Side (from Trolls World Tour) - Oliver Heldens Remix,8078249,2330,Non-Sountrack Song
* The Other Side (from Trolls World Tour) - Ovy On The Drums Remix,4762885,882,Non-Sountrack Song
* The Woods (feat. Justin Timberlake),8794781,969,Non-Sountrack Song
* Trolls 2 Many Hits Mashup,18487950,35615,Soundtrack Song
* True Colors,161200760,60916,Non-Sountrack Song
* True Colors - Film Version,86196720,22586,Non-Sountrack Song
* What U Workin' With?,40101296,9786,Non-Sountrack Song
* Winner (feat. Justin Timberlake & T.I.),23317093,5045,Non-Sountrack Song
* Work It,6247476,2675,Non-Sountrack Song
* Work It,429047,56,Non-Sountrack Song
* Work It - Copenhaniacs Remix,224232,111,Non-Sountrack Song
A Phenomena,687037,96,Soundtrack Song
Amnesia,15017682,1390,Non-Sountrack Song
As Dreamers Do,631889,86,Soundtrack Song
As Dreamers Still Do,631663,89,Soundtrack Song
Blindness,2759140,426,Non-Sountrack Song
Blue Ocean Floor,23944682,2602,Non-Sountrack Song
Body Count,4835497,1168,Non-Sountrack Song
Boutique In Heaven,929790,115,Non-Sountrack Song
Breeze Off the Pond,16106670,1991,Non-Sountrack Song
Cabaret (feat. Drake),19686212,2055,Non-Sountrack Song
CAN'T STOP THE FEELING! - Film Version,92401894,66281,Soundtrack Song
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1537672182,522360,Soundtrack Song
Chop Me Up (feat. Timbaland & Three-6 Mafia),24578087,8723,Non-Sountrack Song
Cry Me a River,479712826,215494,Non-Sountrack Song
Cry Me A River - Dirty Vegas Vocal Mix,1674991,135,Non-Sountrack Song
Damn Girl (feat. will.i.am),12928253,2391,Non-Sountrack Song
Don't Hold the Wall,27681536,3361,Non-Sountrack Song
Dress On,8538031,1721,Non-Sountrack Song
Drink You Away,71306089,9815,Non-Sountrack Song
Electric Lady,2865886,600,Non-Sountrack Song
Filthy,119152462,9654,Non-Sountrack Song
Flannel,12136236,937,Non-Sountrack Song
FutureSex / LoveSound,25726488,5696,Non-Sountrack Song
Gimme What I Don't Know (I Want),15019417,897,Non-Sountrack Song
Hair Up,75115548,25735,Non-Sountrack Song
Hers (interlude),9505736,600,Non-Sountrack Song
Higher Higher,21547678,2514,Non-Sountrack Song
I Designed It,860015,115,Soundtrack Song
I'm Lovin' It,1834596,643,Non-Sountrack Song
I'm Sorry,806787,111,Soundtrack Song
It's a Raft,632189,82,Soundtrack Song
It's Just Its Nature,1135609,132,Soundtrack Song
It's Just Our Story,493000,70,Soundtrack Song
Last Night,9396381,2930,Non-Sountrack Song
Let the Groove Get In,26275781,3570,Non-Sountrack Song
Let's Take A Ride,5052527,1321,Non-Sountrack Song
Like a Hurricane,580548,92,Soundtrack Song
Like I Love You,90031492,37459,Non-Sountrack Song
Like I Love You - Basement Jaxx Vocal Mix,945316,122,Non-Sountrack Song
Livin' Off the Land,11096869,945,Non-Sountrack Song
Losing My Way,24940930,5322,Non-Sountrack Song
LoveStoned / I Think She Knows - Justice Remix,1619530,147,Non-Sountrack Song
LoveStoned / I Think She Knows - Radio Edit,6653407,2123,Non-Sountrack Song
LoveStoned / I Think She Knows - Tiësto Remix,3837203,735,Non-Sountrack Song
LoveStoned / I Think She Knows Interlude,62723253,20183,Non-Sountrack Song
LoveStoned/I Think She Knows - Don Zee Remix,165703,20,Non-Sountrack Song
LoveStoned/I Think She Knows - Don Zee Remix - Radio Edit,218798,37,Non-Sountrack Song
LoveStoned/I Think She Knows - Matrix & Futurebound Extended Remix,121126,16,Non-Sountrack Song
LoveStoned/I Think She Knows Interlude - Femi Fem & T-Money Funketeria Mix - Extended,130574,14,Non-Sountrack Song
Man of the Woods,41059770,5407,Non-Sountrack Song
Medley: Let Me Talk to You / My Love (feat. T.I.),13319992,7207,Non-Sountrack Song
Medley: Sexy Ladies / Let Me Talk to You (Prelude),6747699,699,Non-Sountrack Song
Medley: Summer Love / Set the Mood (Prelude),18837151,2966,Non-Sountrack Song
Midnight Summer Jam,21092626,1976,Non-Sountrack Song
Mirrors,845190115,346320,Non-Sountrack Song
Mirrors - Radio Edit,66866907,39310,Non-Sountrack Song
Montana,15735223,1510,Non-Sountrack Song
Morning Light (feat. Alicia Keys),42189248,10825,Non-Sountrack Song
Murder (feat. Jay-Z),18406013,1613,Non-Sountrack Song
My Love - Paul Oakenfold Radio Edit,1102530,249,Non-Sountrack Song
My Love - Steve Angello & Sebastian Ingrosso Mix,1248958,83,Non-Sountrack Song
My Love (feat. T.I.),300833931,180074,Non-Sountrack Song
My Love (feat. T.I.) - Ibiza Is Burning Mix,204375,18,Non-Sountrack Song
My Love (feat. T.I.) - Ibiza Is Burning Radio Edit,574065,163,Non-Sountrack Song
My Love (feat. T.I.) - Instrumental,430301,40,Non-Sountrack Song
My Love (feat. T.I.) - Linus Loves Remix,272696,629,Non-Sountrack Song
Never Again,5148541,1101,Non-Sountrack Song
Not a Bad Thing,43831116,15140,Non-Sountrack Song
Nothin' Else,6824268,1443,Non-Sountrack Song
Now We Just Need Some Help,580819,71,Soundtrack Song
One of Those Stories,2314032,214,Soundtrack Song
Only When I Walk Away,12334921,982,Non-Sountrack Song
Pajamas,788720,98,Soundtrack Song
Pusher Love Girl,51994244,6939,Non-Sountrack Song
Really Something,519616,67,Soundtrack Song
Right For Me,3652555,766,Non-Sountrack Song
Rock Your Body,442954923,287154,Non-Sountrack Song
Rock Your Body - Paul Oakenfold Mix,3382415,824,Non-Sountrack Song
Rock Your Body - Sander Kleinenberg's Just In The Club Mix,931391,69,Non-Sountrack Song
Sauce,14693337,1107,Non-Sountrack Song
Say Something (feat. Chris Stapleton),461712636,117351,Non-Sountrack Song
Say Something (feat. Chris Stapleton) - Live Version,6339739,1675,Non-Sountrack Song
Señorita,166533460,69705,Non-Sountrack Song
Señorita - Num Club Mix,835199,993,Non-Sountrack Song
"September - from DreamWorks Animation's ""TROLLS""",76690886,35546,Soundtrack Song
Set the Mood Prelude / Until the End of Time,6277136,2308,Non-Sountrack Song
Sexy Ladies,8489380,2722,Non-Sountrack Song
Sexy Ladies (feat. 50 Cent) - Remix,3378010,1128,Non-Sountrack Song
SexyBack (feat. Missy Elliott & Timbaland) - DJ Wayne Williams Ol' Skool Remix,2338493,370,Non-Sountrack Song
SexyBack (feat. Timbaland),696796673,368695,Non-Sountrack Song
SexyBack (feat. Timbaland) - Armand's Mix,393177,124,Non-Sountrack Song
SexyBack (feat. Timbaland) - Linus Loves Remix,1053972,106,Non-Sountrack Song
SexyBack (feat. Timbaland) - Linus Loves Remix (Edit),2597962,1141,Non-Sountrack Song
SexyBack (feat. Timbaland) - Pokerface Remix,1565354,238,Non-Sountrack Song
SexyBack (feat. Timbaland) - Tom Novy Ibiza Dub,156786,30,Non-Sountrack Song
She Likes the Rain,1110564,121,Soundtrack Song
She Was...,598255,80,Soundtrack Song
So,4021010,192,Soundtrack Song
SoulMate,34450439,2550,Non-Sountrack Song
