Song_Title,Streams,Daily,Album,Type
911,142475211,62973,Chromatica,Non-Soundtrack Song
* Anything Goes,29537364,5166,Cheek To Cheek,Non-Soundtrack Song
* Big Girl Non-Soundtrack Songw,2583968,561,The Block,Non-Soundtrack Song
* But Beautiful,6444925,1319,Cheek To Cheek,Non-Soundtrack Song
* Cheek To Cheek,30489418,13339,Cheek To Cheek,Non-Soundtrack Song
* Chillin,23666421,5447,Attention Deficit,Non-Soundtrack Song
* Dagger One Is Hit / Time To Let Go,4923096,6310,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* Darkstar,9544112,13814,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* Dream Dancing,1381342,702,Love For Sale,Non-Soundtrack Song
* Firefly,6561776,1702,Cheek To Cheek,Non-Soundtrack Song
* Gimme Shelter - Live,272042,931,GRRR Live!,Non-Soundtrack Song
* Goody Goody,5060149,1429,Cheek To Cheek,Non-Soundtrack Song
* I Can't Give You Anything But Love,10152048,1659,Cheek To Cheek,Non-Soundtrack Song
* I Concentrate On You,1599065,748,Love For Sale,Non-Soundtrack Song
* I Get A Kick Out Of You,10759574,6153,Love For Sale,Non-Soundtrack Song
* I Want Your Love,8045476,4758,It's About Time,Non-Soundtrack Song
* I Won't Dance,8521541,1512,Cheek To Cheek,Non-Soundtrack Song
* It Don't Mean A Thing (If It Ain't Got That Swing),13477743,3430,Cheek To Cheek,Non-Soundtrack Song
* It's De-Lovely,2637239,1279,Love For Sale,Non-Soundtrack Song
* I've Got You Under My Skin,7360090,6074,Love For Sale,Non-Soundtrack Song
* Let's Face The Music And Dance,6475390,1544,Cheek To Cheek,Non-Soundtrack Song
* Love For Sale,5679610,2160,Love For Sale,Non-Soundtrack Song
* Main Titles (You’ve Been Called Back to Top Gun),26227910,43367,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* Nature Boy,9819609,2676,Cheek To Cheek,Non-Soundtrack Song
* Night And Day,2278025,1141,Love For Sale,Non-Soundtrack Song
* Penny Returns - Interlude,4333484,6691,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* Tally Two / What’s The Plan / F-14,4359513,6226,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* The Lady is a Tramp,18093381,4789,Duets II,Non-Soundtrack Song
"* The Man, The Legend / Touchdown",7915983,12763,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* They All Laughed,4542816,2011,Cheek To Cheek,Non-Soundtrack Song
* Top Gun Anthem,18383439,26681,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* Video Phone (feat. Lady Gaga),23092940,11124,I Am… Sasha Fierce,Non-Soundtrack Song
* We're Doing a Sequel,4788542,2533,Muppets Most Wanted,Soundtrack Song
* Winter Wonderland,32464898,281,Single,Non-Soundtrack Song
* You’re Where You Belong / Give ‘Em Hell,7787583,11284,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
* You're The Top,1375711,724,Love For Sale,Non-Soundtrack Song
1000 Doves,39089932,9207,Chromatica,Non-Soundtrack Song
1000 Doves - Planningtorock Remix,2028428,847,Dawn Of Chromatica,Non-Soundtrack Song
911 - BruNon-Soundtrack Song Martini Extended Remix,281678,181,911 (BruNon-Soundtrack Song Martini Remix),Non-Soundtrack Song
911 - BruNon-Soundtrack Song Martini Remix,1631766,1369,911 (BruNon-Soundtrack Song Martini Remix),Non-Soundtrack Song
911 - Charli XCX & A. G. Cook Remix,8800339,3440,Dawn Of Chromatica,Non-Soundtrack Song
911 - Sofi Tukker Extended Remix,841896,279,911 (Sofi Tukker Remix),Non-Soundtrack Song
911 - Sofi Tukker Remix,9552266,3296,911 (Sofi Tukker Remix),Non-Soundtrack Song
911 - WEISS Remix,291940,109,Single,Non-Soundtrack Song
Again Again,1980491,127,The Fame Monster,Non-Soundtrack Song
Alejandro,349599846,280861,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Alejandro - Afrojack Remix,1659133,102,Alejandro,Non-Soundtrack Song
Alejandro - Bimbo Jones Remix,804160,240,Alejandro,Non-Soundtrack Song
Alejandro - Dave Aude Remix,861155,188,Alejandro,Non-Soundtrack Song
Alejandro - Kim Fai Remix,226149,23,Alejandro,Non-Soundtrack Song
Alejandro - Kleerup Remix,301595,41,Alejandro,Non-Soundtrack Song
Alejandro - Radio Edit,1087568,297,Alejandro,Non-Soundtrack Song
Alejandro - Rusko's Pupuseria Remix,1282708,80,Alejandro,Non-Soundtrack Song
Alejandro - Skrillex Remix,9207978,1199,Alejandro,Non-Soundtrack Song
Alejandro - The Sound of Arrows Remix,2330258,367,The Remix,Non-Soundtrack Song
Alice,76807254,33710,Chromatica,Non-Soundtrack Song
Alice - LSDXOXO Remix,3726969,1620,Dawn Of Chromatica,Non-Soundtrack Song
Always Remember Us This Way,988327910,797178,A Star Is Born Soundtrack,Soundtrack Song
Americano,51684177,84463,Born This Way,Non-Soundtrack Song
Americano - Gregori Klosman Remix,588599,63,Born This Way The Remix,Non-Soundtrack Song
Angel Down,32308898,5225,Joanne,Non-Soundtrack Song
Angel Down - Work Tape,20073836,3301,Joanne,Non-Soundtrack Song
Applause,426529650,311401,ARTPOP,Non-Soundtrack Song
Applause - Bent Collective Club Mix,351547,75,Applause (Remixes),Non-Soundtrack Song
Applause - DJ White Shadow Electrotech Remix,339989,58,Applause (Remixes),Non-Soundtrack Song
Applause - DJ White Shadow Trap Remix,1441710,596,Applause (Remixes),Non-Soundtrack Song
Applause - Empire Of The Sun Remix,2465541,1191,Applause (Remixes),Non-Soundtrack Song
Applause - Fareoh Remix,272331,38,Applause (Remixes),Non-Soundtrack Song
Applause - Goldhouse Remix,326448,132,Applause (Remixes),Non-Soundtrack Song
Applause - Purity Ring Remix,1126360,850,Applause (Remixes),Non-Soundtrack Song
Applause - Viceroy Remix,444862,82,Applause (Remixes),Non-Soundtrack Song
ARTPOP,45452825,16077,Artpop,Non-Soundtrack Song
Aura,30730070,11731,Artpop,Non-Soundtrack Song
A-YO,81680998,13472,Joanne,Non-Soundtrack Song
Babylon,56052342,26532,Chromatica,Non-Soundtrack Song
Babylon - Bree Runway & Jimmy Edgar Remix,4484850,4043,Dawn Of Chromatica,Non-Soundtrack Song
Babylon - Haus Labs Version,5722369,4394,Dawn Of Chromatica,Non-Soundtrack Song
Bad Kids,17063025,6560,Born This Way,Non-Soundtrack Song
Bad Romance,951591197,647850,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Bad Romance - Bimbo Jones Radio Remix,1203282,286,Bad Romance Remixes,Non-Soundtrack Song
Bad Romance - Chew Fu H1N1 Fix,1609979,580,Bad Romance Remixes,Non-Soundtrack Song
Bad Romance - DJ Dan Remix,452704,509,Bad Romance - The Remixes Part 2,Non-Soundtrack Song
Bad Romance - Grum Remix,856112,128,Bad Romance - The Remixes Part 2,Non-Soundtrack Song
Bad Romance - Hercules & Love Affair Remix,192843,16,Bad Romance - The Remixes Part 2,Non-Soundtrack Song
Bad Romance - Kaskade Remix,648336,551,Bad Romance Remixes,Non-Soundtrack Song
Bad Romance - Radio Edit,4498412,1267,Single,Non-Soundtrack Song
Bad Romance - Skrillex Remix,7931129,5732,Bad Romance Remixes,Non-Soundtrack Song
Bad Romance - Starsmith Remix,1878352,145,The Remix,Non-Soundtrack Song
"Beautiful, Dirty, Rich",49398849,21031,The Fame,Non-Soundtrack Song
Before I Cry,52491589,8540,A Star Is Born Soundtrack,Soundtrack Song
Black Jesus + Amen Fashion,11225613,5455,Born This Way,Non-Soundtrack Song
Black Jesus + Amen Fashion - Michael Woods Remix,756953,103,Born This Way The Remix,Non-Soundtrack Song
Bloody Mary,333050036,767130,Born This Way,Non-Soundtrack Song
