"","Song_Title","Streams","Daily","Album","Type"
"1","Marry The Night",103395432,42720,"Born This Way","Non-Soundtrack Song"
"2","John Wayne",103511575,24697,"Joanne","Non-Soundtrack Song"
"3","G.U.Y.",109165629,53964,"Artpop","Non-Soundtrack Song"
"4","Music To My ESoundtrack Song",118694250,19425,"A Star Is Born Soundtrack","Soundtrack Song"
"5","Is That Alright?",128555597,43752,"A Star Is Born Soundtrack","Soundtrack Song"
"6","Look What I Found",140216546,30811,"A Star Is Born Soundtrack","Soundtrack Song"
"7","911",142475211,62973,"Chromatica","Non-Soundtrack Song"
"8","You And I",151699923,66606,"Born This Way","Non-Soundtrack Song"
"9","I'll Never Love Again - Extended Version",196271852,68719,"A Star Is Born Soundtrack","Soundtrack Song"
"10","Perfect Illusion",205653323,37853,"Joanne","Non-Soundtrack Song"
"11","Hold My Hand",219818393,322675,"Top Gun: Maverick (Music From The Motion Picture)","Soundtrack Song"
"12","The Edge Of Glory",252649109,143579,"Born This Way","Non-Soundtrack Song"
"13","LoveGame",274378479,296993,"The Fame","Non-Soundtrack Song"
"14","Sour Candy (with BLACKPINK)",321307545,153773,"Chromatica","Non-Soundtrack Song"
"15","I'll Never Love Again - Film Version",321962746,117852,"A Star Is Born Soundtrack","Soundtrack Song"
"16","Judas",328529772,408271,"Born This Way","Non-Soundtrack Song"
"17","Bloody Mary",333050036,767130,"Born This Way","Non-Soundtrack Song"
"18","Stupid Love",347046312,95619,"Chromatica","Non-Soundtrack Song"
"19","Alejandro",349599846,280861,"The Fame Monster (Deluxe Edition)","Non-Soundtrack Song"
"20","The Cure",355195038,52422,"Single","Non-Soundtrack Song"
"21","Paparazzi",410890763,311399,"The Fame","Non-Soundtrack Song"
"22","Applause",426529650,311401,"ARTPOP","Non-Soundtrack Song"
"23","Born This Way",497332674,314655,"Born This Way","Non-Soundtrack Song"
"24","Telephone",549328193,441099,"The Fame Monster (Deluxe Edition)","Non-Soundtrack Song"
"25","Million Reasons",717468948,320304,"Joanne","Non-Soundtrack Song"
"26","Just Dance",780822271,680547,"The Fame","Non-Soundtrack Song"
"27","Rain On Me (with Ariana Grande)",943141020,351750,"Chromatica","Non-Soundtrack Song"
"28","Poker Face",943412387,802919,"The Fame","Non-Soundtrack Song"
"29","Bad Romance",951591197,647850,"The Fame Monster (Deluxe Edition)","Non-Soundtrack Song"
"30","Always Remember Us This Way",988327910,797178,"A Star Is Born Soundtrack","Soundtrack Song"
"31","Shallow",2108799907,892720,"A Star Is Born Soundtrack","Soundtrack Song"
