Rank,Artist,Album,Year,Link
50,Taylor Swift,1989,2014,https://www.billboard.com/wp-content/uploads/2022/03/50.-Taylor-Swift-%E2%80%981989-2014-album-art-billboard-1240.jpg?w=768
49,Young Thug,Jeffery,2016,https://www.billboard.com/wp-content/uploads/media/Young-Thug-Jeffery-2016-billboard-1240.jpg?w=768
48,Lady Gaga,The Fame Monster,2009,https://www.billboard.com/wp-content/uploads/2022/03/48.-Lady-Gaga-%E2%80%98The-Fame-Monster-2009-album-art-billboard-1240.jpg?w=768
47,Janet Jackson,Rhythm Nation 1814,1989,https://www.billboard.com/wp-content/uploads/2022/03/47.-Janet-Jackson-%E2%80%98Rhythm-Nation-1814-1989-album-at-billboard-1240.jpg?w=1024
46,Funkadelic,Maggot Brain,1971,https://www.billboard.com/wp-content/uploads/2022/03/46.-Funkadelic-%E2%80%98Maggot-Brain-1971-album-art-billboard-1240.jpg?w=768
45,Cardi B,Invasion of Privacy,2018,https://www.billboard.com/wp-content/uploads/media/cardi-b-invasion-of-privacy-album-art-2018-billboard-embed.jpg?w=768
44,Whitney Houston,Whitney Houston,1985,https://www.billboard.com/wp-content/uploads/2022/03/44.-Whitney-Houston-%E2%80%98Whitney-Houston-1985-album-art-billboard-1240.jpg?w=768
43,Fleetwood Mac,Rumours,1977,https://www.billboard.com/wp-content/uploads/2022/03/43.-Fleetwood-Mac-%E2%80%98Rumours-1977-album-art-billboard-1240.jpg?w=768
42,Nicki Minaj,The Pinkprint,2014,https://www.billboard.com/wp-content/uploads/2022/03/42.-Nicki-Minaj-%E2%80%98The-Pinkprint-2014-album-art-billboard-1240.jpg?w=768
41,No Doubt,Tragic Kingdom,1995,https://www.billboard.com/wp-content/uploads/2022/03/41.-No-Doubt-%E2%80%98Tragic-Kingdom-1995-album-art-billbooard-1240.jpg?w=769
40,Beyonce,Beyonce,2013,https://www.billboard.com/wp-content/uploads/2022/03/40.-Beyonce-%E2%80%98Beyonce-2013-album-art-billboard-1240.jpg?w=768
39,Johnny Cash,American IV: The Man Comes Around,2002,https://www.billboard.com/wp-content/uploads/2022/03/39.-Johnny-Cash-%E2%80%98American-IV-The-Man-Comes-Around-2002-album-art-billboard-1240.jpg?w=768
38,Ariana Grande,Sweetener,2018,https://www.billboard.com/wp-content/uploads/media/ariana-grande-sweetner-album-art-2018-billboard-1240.jpg?w=768
37,Madonna,True Blue,1986,https://www.billboard.com/wp-content/uploads/2022/03/37.-Madonna-%E2%80%98True-Blue-1986-album-cover-billboard-1240.jpg?w=774
36,Joni Mitchell,Hejira,1976,https://www.billboard.com/wp-content/uploads/2022/03/36.-Joni-Mitchell-%E2%80%98Hejira-1976-album-art-billboard-1240.jpg?w=768
35,Metallica,Master of Puppets,1986,https://www.billboard.com/wp-content/uploads/2022/03/35.-Metallica-%E2%80%98Master-of-Puppets-1986-album-art-billboard-1240.jpg?w=768
34,The Slits,Cut,1979,https://www.billboard.com/wp-content/uploads/2022/03/34.-The-Slits-%E2%80%98Cut-1979-album-art-billboard-1240.jpg?w=779
33,Kanye West,My Beautiful Dark Twisted Fantasy,2010,https://www.billboard.com/wp-content/uploads/2022/03/33.-Kanye-West-%E2%80%98My-Beautiful-Dark-Twisted-Fantasy-2010-album-art-billboard-1240.jpg?w=768
32,Lizzo,Cuz I Love You,2019,https://www.billboard.com/wp-content/uploads/media/Lizzo-Cuz-I-Love-You-album-art-2019-billboard-1240_0.jpg?w=768
31,Sex Pistols,"Never Mind the Bollocks, Here's The Sex Pistols",1977,https://www.billboard.com/wp-content/uploads/2022/03/31.-Sex-Pistols-%E2%80%98Never-Mind-the-Bollocks-Heres-The-Sex-Pistols-1977-album-art-billboard-1240.jpg?w=1024
30,FKA Twigs,LP1,2014,https://www.billboard.com/wp-content/uploads/2022/03/30.-FKA-Twigs-%E2%80%98LP1-2014-album-art-billboard-1240.jpg?w=768
29,Aretha Franklin,I Never Loved a Man the Way I Loved You,1967,https://www.billboard.com/wp-content/uploads/2022/03/29.-Aretha-Franklin-%E2%80%98I-Never-Loved-a-Man-the-Way-I-Loved-You-1967-album-art-billboard-1240.jpg?w=768
28,Bruce Spingsteen,Born in the U.S.A.,1984,https://www.billboard.com/wp-content/uploads/2022/03/28.-Bruce-Springsteen-%E2%80%98Born-in-the-U.S.A.-1984-album-art-billboard-1240.jpg?w=768
27,Janis Joplin,Pearl,1971,https://www.billboard.com/wp-content/uploads/2022/03/27.-Janis-Joplin-%E2%80%98Pearl-1971-album-art-billboard-1240.jpg?w=768
26,Grace Jones,Island Life,1985,https://www.billboard.com/wp-content/uploads/2022/03/26.-Grace-Jones-%E2%80%98Island-Life-1985-album-art-billboard-1240.jpg?w=779
25,David Bowie,Aladdin Sane,1973,https://www.billboard.com/wp-content/uploads/2022/03/25.-David-Bowie-%E2%80%98Aladdin-Sane-1973-album-art-billboard-1240.jpg?w=768
24,The Rolling Stones,Sticky Fingers,1971,https://www.billboard.com/wp-content/uploads/2022/03/24.-The-Rolling-Stones-%E2%80%98Sticky-Fingers-1971-2-album-art-billboard-1240.jpg?w=768
23,Miles Davis,Bitches Brew,1969,https://www.billboard.com/wp-content/uploads/2022/03/23.-Miles-Davis-%E2%80%98Bitches-Brew-1969-album-art-billboard-1240.jpg?w=768
22,Drake,If You're Reading This It's Too Late,2015,https://www.billboard.com/wp-content/uploads/2022/03/22.-Drake-If-Youre-Reading-This-Its-Too-Late-2015-album-art-billboard-1240.jpg?w=768
21,Duran Duran,Rio,1982,https://www.billboard.com/wp-content/uploads/2022/03/21.-Duran-Duran-%E2%80%98Rio-1982-album-art-billboard-1240.jpg?w=768
20,Joy Division,Unknown Pleasures,1979,https://www.billboard.com/wp-content/uploads/2022/03/20.-Joy-Division-%E2%80%98Unknown-Pleasures-1979-album-art-billboard-1240.jpg?w=768
19,Judas Priest,British Steel,1980,https://www.billboard.com/wp-content/uploads/2022/03/19.-Judas-Priest-%E2%80%98British-Steel-1980-album-art-billboard-1240.jpg?w=775
18,The Roots,Things Fall Apart,1999,https://www.billboard.com/wp-content/uploads/2022/03/18.-The-Roots-%E2%80%98Things-Fall-Apart-1999-album-art-billboard-1240.jpg?w=775
